mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,6,지6층,17.32,04999,기타제2종근린생활시설,"ELEV.홀(근린생활시설,운동시설)",근린생활2,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,5,지5층,17.32,04999,기타제2종근린생활시설,"ELEV.홀(근린생활시설,운동시설)",근린생활2,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,2,지2층,472.14,04999,기타제2종근린생활시설,"계단실,복도,화장실(근린생활시설,운동시설)",근린생활2,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,3,지3층,296.43,04999,기타제2종근린생활시설,"계단실,선큰(근린생활시설,운동시설)",근린생활2,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지상,1,1층,341.76,04999,기타제2종근린생활시설,"계단실,복도,화장실(근린생활시설,운동시설)",근린생활2,철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지상,1,1층,559.41,04999,기타제2종근린생활시설,근린생활시설,근린생활2,철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지상,3,3층,40.71,04999,기타제2종근린생활시설,"계단실,복도,화장실(근린생활시설,운동시설)",근린생활2,철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,2,지2층,260.98,03005,의원,제1종근린생활시설(의원),근린생활1,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,1,지1층,150.64,04999,기타제2종근린생활시설,기타제2종근린생활시설,근린생활2,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,1,지1층,934.29,03005,의원,제1종근린생활시설(의원),근린생활1,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지하,1,지1층,114.13,04005,제조업소,제2종근린생활시설(제조업소),근린생활2,철골철근콘크리트구조
1000000000000001388975,1168010800101060000,서울특별시 강남구 논현동 106번지,서울특별시 강남구 언주로 720 (논현동),지상,2,2층,576.82,04999,기타제2종근린생활시설,"근린생활시설, 제1종근린생활시설(의원)",근린생활2,철근콘크리트구조
10241100267274,1168010300111640000,서울특별시 강남구 개포동 1164번지,서울특별시 강남구 논현로2길 6 (개포동),지하,1,지1층,57.09,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
10241100278824,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,2,지2층,7.5,04001,일반음식점,계단실,근린생활2,철근콘크리트구조
10241100278824,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,2,지2층,145.46,04001,일반음식점,주차장,근린생활2,철근콘크리트구조
10241100278824,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,1,지1층,78.42,04001,일반음식점,제2종근린생활시설(일반음식점),근린생활2,철근콘크리트구조
10241100278824,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,1,지1층,44.43,04001,일반음식점,주차장,근린생활2,철근콘크리트구조
10241100278824,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,2,지2층,4.62,04001,일반음식점,A.V실,근린생활2,철근콘크리트구조
10241100278824,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,1,지1층,37.33,04001,일반음식점,계단실,근린생활2,철근콘크리트구조
10241100278839,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,2,지2층,19.98,03999,기타제1종근린생활시설,창고,근린생활1,철근콘크리트구조
10241100278839,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,1,지1층,59.47,03024,지역아동센터,주차장,근린생활1,철근콘크리트구조
10241100278839,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,1,지1층,154.42,03024,지역아동센터,제1종근린생활시설(지역아동센터),근린생활1,철근콘크리트구조
10241100278839,1168010800102690001,서울특별시 강남구 논현동 269-1번지,서울특별시 강남구 봉은사로49길 26 (논현동),지하,2,지2층,194.71,03999,기타제1종근린생활시설,주차장,근린생활1,철근콘크리트구조
