mgmBldrgstPk,PNU,지번주소,도로명주소,층구분,층번호,층번호명,층면적_㎡,용도코드,용도,상세용도,용도군,구조
1025124015,1171010400100950032,서울특별시 송파구 송파동 95-32번지,서울특별시 송파구 가락로17길 4 (송파동),지상,4,4층,53.25,04402,사무소,근린생활시설(사무소),근린생활2,철근콘크리트구조
102516670,1171010400100950036,서울특별시 송파구 송파동 95-36번지,서울특별시 송파구 가락로 131 (송파동),지하,1,지1,222.64,03020,체육도장,태권도장,근린생활1,철근콘크리트구조
102516670,1171010400100950036,서울특별시 송파구 송파동 95-36번지,서울특별시 송파구 가락로 131 (송파동),지상,1,1,172.64,03005,의원,의원,근린생활1,철근콘크리트구조
102516670,1171010400100950036,서울특별시 송파구 송파동 95-36번지,서울특별시 송파구 가락로 131 (송파동),지상,2,2,172.64,03005,의원,의원,근린생활1,철근콘크리트구조
102516670,1171010400100950036,서울특별시 송파구 송파동 95-36번지,서울특별시 송파구 가락로 131 (송파동),지상,3,3,170.57,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
102516670,1171010400100950036,서울특별시 송파구 송파동 95-36번지,서울특별시 송파구 가락로 131 (송파동),지상,4,4,43.01,03999,기타제1종근린생활시설,창고,근린생활1,철근콘크리트구조
102516670,1171010400100950036,서울특별시 송파구 송파동 95-36번지,서울특별시 송파구 가락로 131 (송파동),지상,4,4,0.0,03999,기타제1종근린생활시설,작업실,근린생활1,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,1,1,34.99,04005,제조업소,제2종근린생활시설(제조업소),근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지하,1,지1,183.12,04001,일반음식점,근린생활시설(대중음식점),근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지하,1,지1,39.0,04999,기타제2종근린생활시설,보일러실,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지하,1,지1,11.52,04999,기타제2종근린생활시설,계단실,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,1,1,101.09,03999,기타제1종근린생활시설,근린생활시설및소매점,근린생활1,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,1,1,54.12,04999,기타제2종근린생활시설,주차장,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,1,1,0.0,04999,기타제2종근린생활시설,계단실,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,2,2,32.95,04999,기타제2종근린생활시설,계단실,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,2,2,0.0,04999,기타제2종근린생활시설,화장실,근린생활2,철근콘크리트구조
102518649,1171010400100950037,서울특별시 송파구 송파동 95-37번지,서울특별시 송파구 가락로 133 (송파동),지상,3,3,151.75,04402,사무소,제2종근린생활시설(사무소),근린생활2,철근콘크리트구조
