TRDAR_CD,TRDAR_CD_N,SIGNGU_NM,ADSTRD_NM,R_ONE_상권,상가유형,기준_년분기_코드,임대료_천원㎡,임대가격지수,공실률,매칭상권_임대료표본수,매칭상권_공실률표본수,임대료_표본부족,공실률_표본부족,임대료_분위_매칭상권내,공실률_분위_매칭상권내,mapping_method,mapping_confidence,join_eligible,grain_is_proxy
3120123,오류동역,구로구,오류1동,오류동역,중대형상가,20261,,99.82,1.47362465828096,0,48,True,False,,4.2,exact_name,high,True,True
3120130,구로디지털단지역,구로구,구로3동,구로디지털단지역,중대형상가,20261,,100.08,4.11932468845276,0,48,True,False,,20.8,exact_name,high,True,True
3120143,당산역,영등포구,당산2동,당산역,중대형상가,20261,,103.03,7.33927232694633,0,48,True,False,,41.7,exact_name,high,True,True
3120145,영등포역(영등포),영등포구,영등포동,영등포역,중대형상가,20261,,101.65,11.7035080518506,0,48,True,False,,75.0,explicit_alias,high,True,True
3120153,노량진역(노량진),동작구,노량진1동,노량진,중대형상가,20261,,99.38,8.91888216338818,0,48,True,False,,62.5,explicit_alias,high,True,True
3120157,신림역(신림),관악구,신림동,신림역,중대형상가,20261,,99.62,5.63407864139491,0,48,True,False,,33.3,explicit_alias,high,True,True
3120159,서울대입구역,관악구,청룡동,서울대입구역,중대형상가,20261,,101.21,2.73538607753301,0,48,True,False,,12.5,exact_name,high,True,True
3120160,사당역(사당),서초구,방배2동,사당,중대형상가,20261,,102.31,7.8235954981486,0,48,True,False,,52.1,explicit_alias,high,True,True
3120165,서래마을카페거리(서래마을),서초구,반포4동,서래마을,중대형상가,20261,,101.34,7.39149086176455,0,48,True,False,,43.8,explicit_alias,high,True,True
3120166,방배역,서초구,방배1동,방배역/내방역,중대형상가,20261,,101.77,8.53191658174332,0,48,True,False,,56.2,composite_components,high,True,True
3120173,교대역(법원.검찰청),서초구,서초1동,교대역,중대형상가,20261,,104.82,2.89792876311506,0,48,True,False,,14.6,explicit_alias,high,True,True
3120175,남부터미널역,서초구,서초1동,남부터미널,중대형상가,20261,,103.7,5.15410749923192,0,48,True,False,,27.1,explicit_alias,high,True,True
3120178,신사역,서초구,잠원동,신사역,중대형상가,20261,,101.08,17.6233067305848,0,48,True,False,,95.8,exact_name,high,True,True
3120185,논현역,강남구,논현1동,논현역,중대형상가,20261,,103.54,13.5845506728822,0,48,True,False,,87.5,exact_name,high,True,True
3120208,청담사거리(청담동명품거리),강남구,청담동,청담,중대형상가,20261,,105.69,29.8915217737928,0,48,True,False,,100.0,explicit_alias,high,True,True
3120225,잠실새내역(신천),송파구,잠실본동,잠실새내역,중대형상가,20261,,102.37,5.53045886144153,0,48,True,False,,31.2,explicit_alias,high,True,True
3120231,가락시장,송파구,가락1동,가락시장,중대형상가,20261,,100.65,11.1864108485344,0,48,True,False,,70.8,exact_name,high,True,True
3120243,천호역,강동구,천호2동,천호,중대형상가,20261,,102.12,8.48017621145375,0,48,True,False,,54.2,explicit_alias,high,True,True
3130024,남대문시장(자유상가),중구,회현동,남대문,중대형상가,20261,,103.12,14.5963741276825,0,48,True,False,,89.6,explicit_alias,high,True,True
3130035,방산종합시장(방산시장),중구,을지로동,방산시장,중대형상가,20261,,99.85,21.1374146326524,0,48,True,False,,97.9,explicit_alias,high,True,True
3110431,상계역,노원구,중계4동,상계역,중대형상가,20262,,100.21,7.96854865767733,0,48,True,False,,50.0,exact_name,high,True,True
3120002,서촌(경복궁역),종로구,사직동,서촌,중대형상가,20262,,105.13,10.1153660304421,0,48,True,False,,70.8,explicit_alias,high,True,True
3120003,광화문역,종로구,사직동,광화문,중대형상가,20262,,101.18,5.23750177215524,0,48,True,False,,31.2,explicit_alias,high,True,True
3120007,북촌(안국역),종로구,가회동,북촌,중대형상가,20262,,104.0,1.94657945849035,0,48,True,False,,10.4,explicit_alias,high,True,True
3120012,대학로(혜화역),종로구,혜화동,혜화동,중대형상가,20262,,100.64,3.29022562362638,0,48,True,False,,16.7,explicit_alias,high,True,True
3120023,서울시청,중구,명동,시청,중대형상가,20262,,101.91,11.7167799911163,0,48,True,False,,77.1,explicit_alias,high,True,True
3120028,명동(명동거리),중구,명동,명동,중대형상가,20262,,111.75,6.46947982585718,0,48,True,False,,35.4,explicit_alias,high,True,True
3120032,충무로역,중구,필동,충무로,중대형상가,20262,,100.86,3.0473449115508,0,48,True,False,,14.6,explicit_alias,high,True,True
3120038,약수역,중구,다산동,약수역,중대형상가,20262,,99.26,4.70850789223551,0,48,True,False,,25.0,exact_name,high,True,True
3120049,왕십리역(왕십리),성동구,행당1동,왕십리,중대형상가,20262,,102.37,1.79712567746111,0,48,True,False,,8.3,explicit_alias,high,True,True
3120051,뚝섬역,성동구,성수1가2동,뚝섬,중대형상가,20262,,124.53,1.25347687161517,0,48,True,False,,2.1,explicit_alias,high,True,True
3120053,건대입구역(건대),광진구,화양동,건대입구,중대형상가,20262,,99.37,9.54246322037158,0,48,True,False,,66.7,explicit_alias,high,True,True
3120055,군자역,광진구,군자동,군자,중대형상가,20262,,101.26,7.67029133277191,0,48,True,False,,43.8,explicit_alias,high,True,True
3120056,구의역,광진구,구의1동,구의역,중대형상가,20262,,100.61,5.01365085951637,0,48,True,False,,27.1,exact_name,high,True,True
3120063,청량리역(청량리),동대문구,전농1동,청량리,중대형상가,20262,,100.87,12.2761516847481,0,48,True,False,,79.2,explicit_alias,high,True,True
3120064,경희대학교(경희대),동대문구,회기동,경희대,중대형상가,20262,,99.14,5.23320692387693,0,48,True,False,,29.2,explicit_alias,high,True,True
3120069,상봉역,중랑구,상봉2동,상봉역,중대형상가,20262,,99.9,9.14358343435074,0,48,True,False,,64.6,exact_name,high,True,True
3120072,성신여대,성북구,동선동,성신여대,중대형상가,20262,,100.38,12.7799874793368,0,48,True,False,,81.2,exact_name,high,True,True
3120073,미아사거리,성북구,길음2동,미아사거리,중대형상가,20262,,99.88,6.81866884276466,0,48,True,False,,37.5,exact_name,high,True,True
3120076,수유역,강북구,수유3동,수유,중대형상가,20262,,99.47,8.04013947499206,0,48,True,False,,52.1,explicit_alias,high,True,True
3120090,연신내역,은평구,불광1동,연신내,중대형상가,20262,,100.35,13.2962783647492,0,48,True,False,,83.3,explicit_alias,high,True,True
3120092,불광역,은평구,대조동,불광역,중대형상가,20262,,100.6,14.1154393969951,0,48,True,False,,87.5,exact_name,high,True,True
3120094,"신촌역(신촌역, 신촌로터리)",서대문구,신촌동,신촌/이대,중대형상가,20262,,98.17,11.677552633184,0,48,True,False,,75.0,composite_components,high,True,True
3120100,망원역,마포구,망원1동,망원역,중대형상가,20262,,101.59,1.75088238072198,0,48,True,False,,6.2,exact_name,high,True,True
3120103,홍대입구역(홍대),마포구,서교동,홍대/합정,중대형상가,20262,,105.16,8.09766611083619,0,48,True,False,,54.2,composite_components,high,True,True
3120107,공덕역(공덕오거리),마포구,도화동,공덕역,중대형상가,20262,,103.23,3.70266561117908,0,48,True,False,,18.8,explicit_alias,high,True,True
3120120,화곡역,강서구,화곡1동,화곡,중대형상가,20262,,100.01,15.927681719774,0,48,True,False,,89.6,explicit_alias,high,True,True
3120121,까치산역,강서구,화곡1동,까치산역,중대형상가,20262,,100.12,7.69092921939836,0,48,True,False,,45.8,exact_name,high,True,True
3120123,오류동역,구로구,오류1동,오류동역,중대형상가,20262,,99.9,1.47362465828096,0,48,True,False,,4.2,exact_name,high,True,True
3120130,구로디지털단지역,구로구,구로3동,구로디지털단지역,중대형상가,20262,,100.19,5.28032513623628,0,48,True,False,,33.3,exact_name,high,True,True
3120143,당산역,영등포구,당산2동,당산역,중대형상가,20262,,104.22,7.33927232694633,0,48,True,False,,41.7,exact_name,high,True,True
3120145,영등포역(영등포),영등포구,영등포동,영등포역,중대형상가,20262,,102.35,15.928459104507,0,48,True,False,,91.7,explicit_alias,high,True,True
3120153,노량진역(노량진),동작구,노량진1동,노량진,중대형상가,20262,,99.75,8.91888216338818,0,48,True,False,,60.4,explicit_alias,high,True,True
3120157,신림역(신림),관악구,신림동,신림역,중대형상가,20262,,100.09,7.25353177986226,0,48,True,False,,39.6,explicit_alias,high,True,True
3120159,서울대입구역,관악구,청룡동,서울대입구역,중대형상가,20262,,101.39,2.93103738296141,0,48,True,False,,12.5,exact_name,high,True,True
3120160,사당역(사당),서초구,방배2동,사당,중대형상가,20262,,102.59,8.48431465096026,0,48,True,False,,56.2,explicit_alias,high,True,True
3120165,서래마을카페거리(서래마을),서초구,반포4동,서래마을,중대형상가,20262,,101.97,9.05588007466276,0,48,True,False,,62.5,explicit_alias,high,True,True
3120166,방배역,서초구,방배1동,방배역/내방역,중대형상가,20262,,102.54,9.64507363859027,0,48,True,False,,68.8,composite_components,high,True,True
3120173,교대역(법원.검찰청),서초구,서초1동,교대역,중대형상가,20262,,105.41,3.73656792830593,0,48,True,False,,20.8,explicit_alias,high,True,True
3120175,남부터미널역,서초구,서초1동,남부터미널,중대형상가,20262,,104.48,7.75258091637716,0,48,True,False,,47.9,explicit_alias,high,True,True
3120178,신사역,서초구,잠원동,신사역,중대형상가,20262,,101.34,18.2274895985247,0,48,True,False,,95.8,exact_name,high,True,True
3120185,논현역,강남구,논현1동,논현역,중대형상가,20262,,104.05,17.2765947247954,0,48,True,False,,93.8,exact_name,high,True,True
3120208,청담사거리(청담동명품거리),강남구,청담동,청담,중대형상가,20262,,106.19,27.0258881937228,0,48,True,False,,97.9,explicit_alias,high,True,True
3120225,잠실새내역(신천),송파구,잠실본동,잠실새내역,중대형상가,20262,,102.7,4.15489181504848,0,48,True,False,,22.9,explicit_alias,high,True,True
3120231,가락시장,송파구,가락1동,가락시장,중대형상가,20262,,100.77,11.1864108485344,0,48,True,False,,72.9,exact_name,high,True,True
3120243,천호역,강동구,천호2동,천호,중대형상가,20262,,102.44,8.6308491449582,0,48,True,False,,58.3,explicit_alias,high,True,True
3130024,남대문시장(자유상가),중구,회현동,남대문,중대형상가,20262,,104.18,13.9333084403461,0,48,True,False,,85.4,explicit_alias,high,True,True
3130035,방산종합시장(방산시장),중구,을지로동,방산시장,중대형상가,20262,,99.82,32.3884482283404,0,48,True,False,,100.0,explicit_alias,high,True,True
3120012,대학로(혜화역),종로구,혜화동,혜화동,집합상가,20241,,99.43,,0,0,True,True,,,explicit_alias,high,True,True
3120053,건대입구역(건대),광진구,화양동,건대입구,집합상가,20241,,100.02,,0,0,True,True,,,explicit_alias,high,True,True
3120063,청량리역(청량리),동대문구,전농1동,청량리,집합상가,20241,,99.08,,0,0,True,True,,,explicit_alias,high,True,True
3120072,성신여대,성북구,동선동,성신여대,집합상가,20241,,99.98,,0,0,True,True,,,exact_name,high,True,True
3120076,수유역,강북구,수유3동,수유,집합상가,20241,,100.26,,0,0,True,True,,,explicit_alias,high,True,True
3120081,노원역,노원구,상계2동,노원역,집합상가,20241,,99.86,,0,0,True,True,,,exact_name,high,True,True
3120092,불광역,은평구,대조동,불광역,집합상가,20241,,99.75,,0,0,True,True,,,exact_name,high,True,True
3120094,"신촌역(신촌역, 신촌로터리)",서대문구,신촌동,신촌/이대,집합상가,20241,,101.25,,0,0,True,True,,,composite_components,high,True,True
3120103,홍대입구역(홍대),마포구,서교동,홍대/합정,집합상가,20241,,99.87,,0,0,True,True,,,composite_components,high,True,True
3120120,화곡역,강서구,화곡1동,화곡,집합상가,20241,,100.06,,0,0,True,True,,,explicit_alias,high,True,True
3120123,오류동역,구로구,오류1동,오류동역,집합상가,20241,,99.97,,0,0,True,True,,,exact_name,high,True,True
3120143,당산역,영등포구,당산2동,당산역,집합상가,20241,,99.0,,0,0,True,True,,,exact_name,high,True,True
3120145,영등포역(영등포),영등포구,영등포동,영등포역,집합상가,20241,,99.51,,0,0,True,True,,,explicit_alias,high,True,True
3120149,여의도역(여의도),영등포구,여의동,여의도,집합상가,20241,,99.01,,0,0,True,True,,,explicit_alias,high,True,True
3120157,신림역(신림),관악구,신림동,신림역,집합상가,20241,,100.11,,0,0,True,True,,,explicit_alias,high,True,True
3120159,서울대입구역,관악구,청룡동,서울대입구역,집합상가,20241,,100.28,,0,0,True,True,,,exact_name,high,True,True
3120160,사당역(사당),서초구,방배2동,사당,집합상가,20241,,99.76,,0,0,True,True,,,explicit_alias,high,True,True
3120173,교대역(법원.검찰청),서초구,서초1동,교대역,집합상가,20241,,99.91,,0,0,True,True,,,explicit_alias,high,True,True
3120175,남부터미널역,서초구,서초1동,남부터미널,집합상가,20241,,98.87,,0,0,True,True,,,explicit_alias,high,True,True
3120178,신사역,서초구,잠원동,신사역,집합상가,20241,,99.58,,0,0,True,True,,,exact_name,high,True,True
3120185,논현역,강남구,논현1동,논현역,집합상가,20241,,99.49,,0,0,True,True,,,exact_name,high,True,True
3120208,청담사거리(청담동명품거리),강남구,청담동,청담,집합상가,20241,,99.47,,0,0,True,True,,,explicit_alias,high,True,True
3120212,한티역,강남구,대치4동,한티역,집합상가,20241,,99.77,,0,0,True,True,,,exact_name,high,True,True
3120225,잠실새내역(신천),송파구,잠실본동,잠실새내역,집합상가,20241,,99.57,,0,0,True,True,,,explicit_alias,high,True,True
3120231,가락시장,송파구,가락1동,가락시장,집합상가,20241,,100.08,,0,0,True,True,,,exact_name,high,True,True
3120243,천호역,강동구,천호2동,천호,집합상가,20241,,100.8,,0,0,True,True,,,explicit_alias,high,True,True
3120248,명일역,강동구,명일1동,명일역,집합상가,20241,,99.1,,0,0,True,True,,,exact_name,high,True,True
3130024,남대문시장(자유상가),중구,회현동,남대문,집합상가,20241,,99.59,,0,0,True,True,,,explicit_alias,high,True,True
3120012,대학로(혜화역),종로구,혜화동,혜화동,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120053,건대입구역(건대),광진구,화양동,건대입구,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120063,청량리역(청량리),동대문구,전농1동,청량리,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120072,성신여대,성북구,동선동,성신여대,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120076,수유역,강북구,수유3동,수유,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120081,노원역,노원구,상계2동,노원역,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120092,불광역,은평구,대조동,불광역,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
3120094,"신촌역(신촌역, 신촌로터리)",서대문구,신촌동,신촌/이대,집합상가,20242,,100.0,,0,0,True,True,,,composite_components,high,True,True
3120103,홍대입구역(홍대),마포구,서교동,홍대/합정,집합상가,20242,,100.0,,0,0,True,True,,,composite_components,high,True,True
3120120,화곡역,강서구,화곡1동,화곡,집합상가,20242,,100.0,,0,0,True,True,,,explicit_alias,high,True,True
3120123,오류동역,구로구,오류1동,오류동역,집합상가,20242,,100.0,,0,0,True,True,,,exact_name,high,True,True
